Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,extra_0,MP,Starts,Min,Gls,Ast,G+A,G-PK,PK,PKatt,Gls,Ast,G+A,G-PK,G+A-PK,extra_1
23,Joachim Andersen,dk DEN,DF,Fulham,29,1996,31.9,0.22,0.03,0.00,0.94,0.41,0.00,0.47,1.07,0.82,,,0.00,Matches,,33,33,2,31.9,0.00,0.03,0.03,0.00,0.00,0.03,0.00,0.03,0.03,0.00,
24,Elliot Anderson,eng ENG,MF,Nottingham Forest,22,2002,37.0,0.22,0.00,0.00,1.54,2.16,0.05,4.73,1.11,1.62,,,0.00,Matches,,38,37,3,37.0,0.11,0.11,0.22,0.08,0.03,0.00,0.11,0.11,0.22,0.08,
25,André,br BRA,MF,Wolves,24,2001,30.7,0.39,0.00,0.00,1.53,1.40,0.00,1.30,0.81,1.37,,,0.00,Matches,,35,30,2,30.7,0.03,0.00,0.03,0.03,0.00,0.00,0.03,0.00,0.03,0.03,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,,MP,Starts,Min,Gls,Ast,G+A,G-PK,PK,PKatt,Gls,Ast,G+A,G-PK,G+A-PK,
26,Nilson Angulo,ec ECU,MF,Sunderland,22,2003,4.5,0.22,0.00,0.00,2.44,0.67,0.22,1.56,1.11,1.56,,,0.00,Matches,,8,5,404,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
27,Jaidon Anthony,eng ENG,MF,Burnley,25,1999,30.2,0.13,0.00,0.00,0.89,1.56,0.30,2.65,0.53,0.70,,,0.00,Matches,,37,32,2,30.2,0.26,0.07,0.33,0.26,0.00,0.00,0.26,0.07,0.33,0.26,
28,Alphonse Areola,fr FRA,GK,West Ham United,32,1993,20.0,0.00,0.00,0.00,0.05,0.05,0.00,0.00,0.05,0.00,,,0.00,Matches,,20,20,1,20.0,0.00,0.05,0.05,0.00,0.00,0.00,0.00,0.05,0.05,0.00,
29,Jhon Arias,co COL,FW,MF,Wolves,27,1997,12.5,0.08,0.00,0.00,2.08,0.72,0.24,2.40,0.56,2.16,,,0.00,Matches,1997,23,14,124,12.5,0.08,0.00,0.08,0.08,0.08,0.00,0.08,0.00,0.08,Matches
30,Adam Armstrong,eng ENG,FW,MF,Wolves,28,1997,12.7,0.24,0.00,0.00,0.94,0.24,0.39,0.39,0.08,0.31,,,0.00,Matches,1997,14,14,140,12.7,0.16,0.16,0.31,0.08,0.24,0.00,0.16,0.16,0.32,Matches
31,Harrison Armstrong,eng ENG,MF,Everton,18,2007,5.9,0.00,0.00,0.00,1.02,2.54,0.34,0.51,0.68,1.69,,,0.00,Matches,,13,6,529,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
