Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,extra_0,MP,Starts,Min,Gls,Ast,G+A,G-PK,PK,PKatt,Gls,Ast,G+A,G-PK,G+A-PK,extra_1
94,Tawanda Chirewa,zw ZIM,MF,Wolves,21,2003,0.3,0.00,0.00,0.00,10.0,3.33,0.00,0.00,0.00,0.00,,,0.00,Matches,,2,0,27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
95,Ryan Christie,sct SCO,MF,Bournemouth,30,1995,11.0,0.27,0.09,0.00,1.45,2.00,0.09,1.55,1.00,1.82,,,0.00,Matches,,26,9,993,0.18,0.00,0.18,0.18,0.00,0.00,0.18,0.00,0.18,0.18,0.18,
96,Samuel Chukwueze,ng NGA,MF,Fulham,26,1999,12.0,0.00,0.00,0.00,0.42,1.00,0.25,3.58,0.50,0.33,,,0.00,Matches,,23,10,1,12.0,0.25,0.33,0.58,0.25,0.00,0.00,0.25,0.33,0.58,0.25,
97,Dennis Cirkin,lv LVA,DF,Sunderland,23,2002,3.6,0.56,0.00,0.00,1.11,0.56,0.00,0.83,1.39,1.39,,,0.00,Matches,,8,3,323,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
98,Nathaniel Clyne,eng ENG,MF,DF,Crystal Palace,34,1991,6.6,0.15,0.00,0.00,0.61,0.30,0.00,2.27,1.06,1.36,,,0.00,Matches,1991,10,7,6.6,0.00,0.15,0.15,0.00,0.00,0.00,0.00,0.15,0.15,0.00,
99,Séamus Coleman,ie IRL,DF,Everton,36,1988,0.2,0.00,0.00,0.00,0.00,5.00,0.00,15.0,0.00,0.00,,,0.00,Matches,,5,1,21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
100,Nathan Collins,ie IRL,DF,Brentford,24,2001,33.1,0.21,0.00,0.00,0.60,0.51,0.06,0.03,1.09,0.39,,,0.03,Matches,,35,32,2,33.1,0.03,0.06,0.09,0.03,0.00,0.00,0.03,0.06,0.09,0.03,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,,MP,Starts,Min,Gls,Ast,G+A,G-PK,PK,PKatt,Gls,Ast,G+A,G-PK,G+A-PK,
101,Levi Colwill,eng ENG,DF,Chelsea,22,2003,2.5,0.00,0.00,0.00,0.40,0.80,0.00,0.40,2.00,0.80,,,0.00,Matches,,3,2,225,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
102,Lewis Cook,eng ENG,MF,DF,Bournemouth,28,1997,9.7,0.10,0.10,0.00,0.82,0.52,0.00,4.54,2.16,1.75,,,0.00,Matches,1997,18,8,9.7,0.00,0.10,0.10,0.00,0.00,0.10,0.00,0.10,0.10,0.00,
103,Diego Coppola,it ITA,DF,Brighton,21,2003,2.2,0.91,0.00,0.00,1.82,0.00,0.00,0.00,0.45,0.91,,,0.00,Matches,,5,2,194,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
104,Marc Cucurella,es ESP,DF,Chelsea,27,1998,30.1,0.27,0.03,0.00,1.50,0.96,0.17,1.36,0.93,1.33,,,0.00,Matches,,34,31,2,30.1,0.03,0.13,0.17,0.03,0.00,0.03,0.03,0.13,0.17,0.03,
105,Jorge Cuenca,es ESP,DF,Fulham,25,1999,10.4,0.58,0.00,0.00,0.96,0.10,0.10,0.19,1.44,0.96,,,0.00,Matches,,15,11,938,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
106,Josh Cullen,ie IRL,MF,Burnley,29,1996,16.8,0.12,0.00,0.00,0.95,1.07,0.00,0.71,1.43,1.13,,,0.06,Matches,,18,18,1,16.8,0.12,0.12,0.24,0.12,0.00,0.00,0.12,0.12,0.24,0.12,
107,Jair Cunha,br BRA,DF,Nottingham Forest,20,2005,5.7,0.00,0.00,0.00,0.00,1.05,0.00,0.35,0.88,0.88,,,0.00,Matches,,9,6,517,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
108,Matheus Cunha,br BRA,MF,FW,Manchester Utd,26,1999,27.7,0.14,0.00,0.00,1.01,1.95,0.07,1.77,0.76,0.83,,,0.00,Matches,1999,33,29,494,27.7,0.36,0.07,0.43,0.36,0.14,0.00,0.36,0.07,0.43,Matches
109,Diogo Dalot,pt POR,DF,MF,Manchester Utd,26,1999,29.0,0.17,0.00,0.00,0.86,0.48,0.14,1.97,0.90,1.03,,,0.00,Matches,1999,34,29,614,29.0,0.03,0.10,0.14,0.03,0.17,0.00,0.03,0.10,0.14,Matches
110,Mikkel Damsgaard,dk DEN,MF,Brentford,25,2000,22.8,0.00,0.00,0.00,0.79,1.01,0.18,4.17,1.05,1.49,,,0.00,Matches,,33,24,2,22.8,0.18,0.18,0.35,0.18,0.00,0.00,0.18,0.18,0.35,0.18,
111,Kevin Danso,at AUT,DF,Tottenham Hotspur,26,1998,16.6,0.48,0.00,0.00,1.27,0.78,0.00,0.42,1.51,0.78,,,0.00,Matches,,24,17,1,16.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
112,Karl Darlow,wls WAL,GK,Leeds United,34,1990,22.0,0.05,0.00,0.00,0.00,0.32,0.00,0.00,0.00,0.00,,,0.00,Matches,,22,22,1,22.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
113,Josh Dasilva,eng ENG,MF,Brentford,26,1998,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches,,2,0,3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,
114,Ben Davies,wls WAL,DF,Tottenham Hotspur,32,1993,1.5,0.67,0.00,0.00,1.33,0.00,0.00,2.00,0.67,2.67,,,0.00,Matches,,3,2,137,0.67,0.00,0.67,0.67,0.00,0.00,0.66,0.00,0.66,0.66,0.66,
115,Maxim De Cuyper,be BEL,DF,MF,Brighton,24,2000,15.7,0.13,0.00,0.00,1.15,1.34,0.06,4.90,0.70,0.64,,,0.00,Matches,2000,30,17,415,15.7,0.13,0.19,0.32,0.13,0.13,0.00,0.13,0.19,0.32,Matches
116,Liam Delap,eng ENG,FW,Chelsea,22,2003,12.3,0.33,0.00,0.00,2.03,1.54,0.41,0.49,0.08,0.24,,,0.00,Matches,,28,12,1,12.3,0.08,0.00,0.08,0.08,0.00,0.00,0.08,0.00,0.08,0.08,
117,Sepp van den Berg,nl NED,DF,Brentford,23,2001,30.7,0.07,0.00,0.00,0.49,0.36,0.00,0.00,0.85,0.29,,,0.00,Matches,,32,30,2,30.7,0.00,0.07,0.07,0.00,0.00,0.00,0.00,0.07,0.07,0.00,
118,Jesse Derry,eng ENG,MF,Chelsea,18,2007,0.5,0.00,0.00,0.00,0.00,2.00,0.00,4.00,0.00,2.00,,,0.00,Matches,,1,1,44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
119,Justin Devenny,nir NIR,MF,FW,Crystal Palace,21,2003,8.8,0.00,0.00,0.00,1.25,1.14,0.11,1.93,0.11,1.25,,,0.00,Matches,2003,21,7,8.8,0.11,0.00,0.11,0.00,0.11,0.00,0.11,0.00,0.11,0.00,
120,Kiernan Dewsbury-Hall,eng ENG,MF,Everton,26,1998,29.2,0.21,0.00,0.00,1.10,1.64,0.07,3.84,0.48,0.89,,,0.00,Matches,,31,30,2,29.2,0.27,0.14,0.41,0.27,0.00,0.00,0.27,0.14,0.41,0.27,
121,Bafodé Diakité,fr FRA,DF,Bournemouth,24,2001,14.2,0.07,0.00,0.00,0.56,0.28,0.14,0.07,0.70,1.06,,,0.00,Matches,,18,15,1,14.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
122,Amad Diallo,ci CIV,MF,Manchester Utd,23,2002,26.0,0.08,0.00,0.00,0.92,1.46,0.46,1.77,0.58,0.88,,,0.00,Matches,,32,27,2,26.0,0.08,0.12,0.19,0.08,0.00,0.00,0.08,0.12,0.19,0.08,
123,Habib Diarra,sn SEN,MF,Sunderland,21,2004,15.6,0.38,0.00,0.00,1.22,1.73,0.19,2.05,0.26,0.45,,,0.00,Matches,,20,15,1,15.6,0.13,0.13,0.26,0.06,0.06,0.00,0.13,0.13,0.26,0.06,
124,Rúben Dias,pt POR,DF,Manchester City,28,1997,23.8,0.13,0.00,0.00,0.63,0.38,0.00,0.38,0.97,0.25,,,0.00,Matches,,26,24,2,23.8,0.08,0.00,0.08,0.08,0.00,0.00,0.08,0.00,0.08,0.08,
125,Tyler Dibling,eng ENG,MF,Everton,19,2006,4.0,0.50,0.00,0.00,2.75,2.75,0.00,1.75,1.50,0.75,,,0.00,Matches,,14,4,358,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,,MP,Starts,Min,Gls,Ast,G+A,G-PK,PK,PKatt,Gls,Ast,G+A,G-PK,G+A-PK,
126,Lucas Digne,fr FRA,DF,Aston Villa,32,1993,20.6,0.15,0.00,0.00,0.68,0.58,0.15,5.24,0.63,1.26,,,0.00,Matches,,31,21,1,20.6,0.00,0.29,0.29,0.00,0.00,0.00,0.00,0.29,0.29,0.00,
127,Issa Diop,ma MAR,DF,Fulham,28,1997,9.1,0.22,0.00,0.00,0.99,0.33,0.00,0.11,0.66,0.22,,,0.00,Matches,,13,8,816,0.11,0.00,0.11,0.11,0.00,0.00,0.11,0.00,0.11,0.11,0.11,
128,El Hadji Malick Diouf,sn SEN,DF,MF,West Ham United,20,2004,30.1,0.20,0.00,0.00,0.93,0.83,0.07,3.62,1.06,0.63,,,0.00,Matches,2004,32,30,707,30.1,0.00,0.17,0.17,0.00,0.20,0.00,0.00,0.17,0.17,Matches
129,Axel Disasi,fr FRA,DF,West Ham United,27,1998,13.9,0.07,0.00,0.00,0.36,0.29,0.07,0.00,0.86,0.72,,,0.07,Matches,,14,14,1,13.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
130,Matt Doherty,ie IRL,DF,MF,Wolves,33,1992,8.7,0.46,0.00,0.00,1.84,0.69,0.00,0.92,0.80,0.92,,,0.00,Matches,1992,11,11,8.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
131,Jeremy Doku,be BEL,MF,FW,Manchester City,23,2002,19.8,0.00,0.00,0.00,1.16,3.08,0.15,3.13,0.61,0.81,,,0.00,Matches,2002,30,19,784,19.8,0.25,0.25,0.51,0.25,0.00,0.00,0.25,0.25,0.50,Matches
132,Nicolás Domínguez,ar ARG,MF,Nottingham Forest,27,1998,13.1,0.23,0.00,0.00,1.22,0.84,0.00,1.07,0.46,2.29,,,0.00,Matches,,27,17,1,13.1,0.08,0.08,0.15,0.08,0.00,0.00,0.08,0.08,0.15,0.08,
133,Gianluigi Donnarumma,it ITA,GK,Manchester City,26,1999,34.0,0.24,0.00,0.00,0.00,0.12,0.00,0.00,0.03,0.00,,,0.00,Matches,,34,34,3,34.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
134,Romelle Donovan,eng ENG,FW,Brentford,18,2006,0.5,0.00,0.00,0.00,4.00,6.00,0.00,4.00,0.00,0.00,,,0.00,Matches,,4,0,41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
135,Patrick Dorgu,dk DEN,MF,Manchester Utd,20,2004,16.1,0.31,0.00,0.00,1.43,2.92,0.43,3.54,0.99,1.86,,,0.00,Matches,,26,15,1,16.1,0.25,0.25,0.50,0.25,0.00,0.00,0.25,0.25,0.50,0.25,
136,Max Dowman,eng ENG,MF,Arsenal,15,2009,1.7,0.00,0.00,0.00,1.18,4.12,0.00,3.53,0.59,1.18,,,0.00,Matches,,6,1,157,0.59,0.00,0.59,0.59,0.00,0.00,0.57,0.00,0.57,0.57,0.57,
137,Radu Drăgușin,ro ROU,DF,Tottenham Hotspur,23,2002,5.7,0.00,0.00,0.00,1.58,0.18,0.00,0.53,2.81,0.53,,,0.00,Matches,,10,5,517,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
138,Joél Drakes-Thomas,eng ENG,MF,Crystal Palace,16,2009,0.1,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,10.0,,,0.00,Matches,,2,0,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
139,Martin Dúbravka,sk SVK,GK,Burnley,36,1989,35.0,0.03,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.03,,,0.00,Matches,,35,35,3,35.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
140,Lewis Dunk,eng ENG,DF,Brighton,33,1991,31.5,0.32,0.00,0.00,0.44,0.38,0.03,0.16,0.95,0.70,,,0.00,Matches,,33,31,2,31.5,0.03,0.00,0.03,0.03,0.00,0.00,0.03,0.00,0.03,0.03,
141,George Earthy,eng ENG,MF,West Ham United,20,2004,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,Matches,,1,0,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
142,Odsonne Édouard,fr FRA,FW,Crystal Palace,27,1998,0.0,0,0,0,0,1,0,0,0,1,,,0,Matches,,1,0,3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,
143,Tom Edozie,eng ENG,MF,Wolves,19,2006,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,Matches,,3,0,14,5.00,0.00,5.00,5.00,0.00,0.00,6.43,0.00,6.43,6.43,6.43,
144,Alysson Edward,br BRA,MF,Aston Villa,19,2006,0.5,0.00,0.00,0.00,0.00,2.00,0.00,4.00,2.00,0.00,,,0.00,Matches,,3,0,49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
145,Marcus Edwards,eng ENG,MF,FW,Burnley,26,1998,11.9,0.00,0.00,0.00,0.59,1.51,0.08,1.60,0.25,0.50,,,0.00,Matches,1998,23,11,067,11.9,0.08,0.25,0.34,0.08,0.00,0.00,0.08,0.25,0.34,Matches
146,Hjalmar Ekdal,se SWE,DF,Burnley,26,1998,17.1,0.00,0.00,0.00,0.29,0.41,0.12,0.06,0.70,0.99,,,0.00,Matches,,19,17,1,17.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
147,Hugo Ekitike,fr FRA,FW,Liverpool,23,2002,20.0,0.00,0.00,0.00,1.75,0.60,0.50,0.35,0.20,0.35,,,0.00,Matches,,28,21,1,20.0,0.55,0.20,0.75,0.55,0.00,0.00,0.55,0.20,0.75,0.55,
148,Anthony Elanga,se SWE,FW,MF,Newcastle United,23,2002,14.7,0.00,0.00,0.00,0.54,1.70,0.14,5.65,0.20,0.75,,,0.00,Matches,2002,32,14,319,14.7,0.00,0.07,0.07,0.00,0.00,0.00,0.00,0.07,0.07,Matches
149,Melker Ellborg,se SWE,GK,Sunderland,22,2003,3.0,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,,,0.00,Matches,,3,3,270,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
150,Harvey Elliott,eng ENG,FW,MF,Liverpool,22,2003,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches,2003,1,0,0.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,,MP,Starts,Min,Gls,Ast,G+A,G-PK,PK,PKatt,Gls,Ast,G+A,G-PK,G+A-PK,
151,Harvey Elliott,eng ENG,MF,Aston Villa,22,2003,1.2,0.00,0.00,0.00,0.00,1.67,0.00,2.50,0.00,0.00,,,0.00,Matches,,4,1,112,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
152,Wataru Endo,jp JPN,DF,Liverpool,32,1993,1.9,0.53,0.00,0.00,1.05,1.58,0.00,1.58,0.00,1.58,,,0.00,Matches,,8,1,175,0.00,0.53,0.53,0.00,0.00,0.00,0.00,0.51,0.51,0.00,0.51,
153,Romain Esse,eng ENG,MF,Crystal Palace,20,2005,0.5,0.00,0.00,0.00,4.00,4.00,0.00,4.00,0.00,2.00,,,0.00,Matches,,4,0,44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
154,Dario Essugo,pt POR,MF,Chelsea,20,2005,0.3,6.67,0.00,0.00,10.0,3.33,0.00,0.00,0.00,10.0,,,0.00,Matches,,3,0,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
155,Maxime Estève,fr FRA,DF,Burnley,23,2002,32.6,0.03,0.00,0.00,0.40,0.37,0.00,0.18,1.13,0.83,,,0.06,Matches,,34,34,2,32.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
156,Evanilson,br BRA,FW,Bournemouth,25,1999,30.5,0.07,0.00,0.00,0.85,1.21,0.92,0.10,0.20,0.16,,,0.00,Matches,,36,32,2,30.5,0.20,0.03,0.23,0.20,0.00,0.00,0.20,0.03,0.23,0.20,
157,Eberechi Eze,eng ENG,MF,Crystal Palace,27,1998,0.9,0.00,0.00,0.00,2.22,1.11,0.00,4.44,0.00,1.11,,,0.00,Matches,,1,1,83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
158,Eberechi Eze,eng ENG,MF,FW,Arsenal,27,1998,20.1,0.05,0.00,0.00,0.70,1.89,0.05,0.40,0.55,0.65,,,0.00,Matches,1998,32,21,812,20.1,0.35,0.10,0.45,0.35,0.05,0.00,0.35,0.10,0.45,Matches
159,Bruno Fernandes,pt POR,MF,Manchester Utd,30,1994,34.0,0.15,0.00,0.00,0.71,1.03,0.12,5.32,0.62,1.03,,,0.00,Matches,,35,35,3,34.0,0.26,0.62,0.88,0.15,0.12,0.00,0.26,0.62,0.88,0.15,
160,Mateus Fernandes,pt POR,MF,West Ham United,21,2004,33.5,0.21,0.00,0.00,1.46,1.46,0.00,1.52,1.07,2.00,,,0.00,Matches,,36,35,3,33.5,0.09,0.12,0.21,0.09,0.00,0.00,0.09,0.12,0.21,0.09,
161,Enzo Fernández,ar ARG,MF,Chelsea,24,2001,34.6,0.29,0.00,0.00,1.04,1.30,0.03,2.57,0.58,0.69,,,0.00,Matches,,36,35,3,34.6,0.29,0.12,0.40,0.23,0.06,0.00,0.29,0.12,0.40,0.23,
162,Zian Flemming,nl NED,FW,Burnley,26,1998,19.6,0.26,0.00,0.00,2.60,1.33,0.15,0.31,0.31,0.51,,,0.00,Matches,,29,21,1,19.6,0.56,0.00,0.56,0.46,0.10,0.00,0.56,0.00,0.56,0.46,
163,Jack Fletcher,eng ENG,MF,Manchester Utd,18,2007,1.2,0.00,0.00,0.00,1.67,0.83,0.00,0.00,0.83,0.83,,,0.00,Matches,,3,0,108,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
164,Tyler Fletcher,sct SCO,MF,Manchester Utd,18,2007,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,Matches,,2,0,18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
165,Phil Foden,eng ENG,MF,Manchester City,25,2000,23.2,0.17,0.00,0.00,0.78,1.34,0.13,5.13,0.43,0.69,,,0.00,Matches,,33,23,2,23.2,0.30,0.22,0.52,0.30,0.00,0.00,0.30,0.22,0.52,0.30,
166,Wesley Fofana,fr FRA,DF,Chelsea,24,2000,19.1,0.47,0.10,0.10,1.41,0.89,0.05,0.10,1.99,0.58,,,0.00,Matches,,25,20,1,19.1,0.00,0.05,0.05,0.00,0.00,0.10,0.00,0.05,0.05,0.00,
167,Lyle Foster,za RSA,FW,MF,Burnley,24,2000,15.2,0.26,0.00,0.00,1.45,0.86,0.72,0.39,0.26,0.79,,,0.00,Matches,2000,26,15,371,15.2,0.20,0.13,0.33,0.20,0.26,0.00,0.20,0.13,0.33,Matches
168,Tyler Fredricson,eng ENG,DF,Manchester Utd,20,2005,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches,,1,0,3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,
169,Jeremie Frimpong,nl NED,DF,MF,Liverpool,24,2000,11.6,0.09,0.00,0.00,0.69,1.81,0.34,4.40,0.52,0.78,,,0.00,Matches,2000,21,12,040,11.6,0.00,0.09,0.09,0.00,0.09,0.00,0.00,0.09,0.09,Matches
170,Niclas Füllkrug,de GER,FW,West Ham United,32,1993,4.5,0.00,0.00,0.00,2.44,0.22,0.44,0.00,0.44,0.22,,,0.00,Matches,,8,5,409,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
171,Kaye Furo,be BEL,FW,Brentford,18,2007,0.0,0,0,0,1,0,0,0,0,0,,,0,Matches,,1,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,
172,Cody Gakpo,nl NED,MF,FW,Liverpool,26,1999,30.4,0.10,0.00,0.00,1.38,1.45,0.99,2.83,0.39,0.49,,,0.00,Matches,1999,36,32,737,30.4,0.23,0.16,0.39,0.23,0.10,0.00,0.23,0.16,0.39,Matches
173,Conor Gallagher,eng ENG,MF,Tottenham Hotspur,25,2000,13.2,0.15,0.00,0.00,1.89,1.74,0.08,1.74,1.36,1.06,,,0.00,Matches,,16,14,1,13.2,0.08,0.08,0.15,0.08,0.00,0.00,0.08,0.08,0.15,0.08,
174,Idrissa Gana Gueye,sn SEN,MF,Everton,35,1989,23.3,0.04,0.04,0.00,0.90,1.33,0.00,0.82,1.24,0.90,,,0.00,Matches,,25,25,2,23.3,0.09,0.13,0.21,0.09,0.00,0.04,0.09,0.13,0.22,0.09,
175,Ben Gannon-Doak,sct SCO,MF,Bournemouth,19,2005,1.3,0.00,0.00,0.00,2.31,0.77,0.00,3.08,0.77,1.54,,,0.00,Matches,,8,0,113,0.00,0.77,0.77,0.00,0.00,0.00,0.00,0.80,0.80,0.00,0.80,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,,MP,Starts,Min,Gls,Ast,G+A,G-PK,PK,PKatt,Gls,Ast,G+A,G-PK,G+A-PK,
176,Andrés García,es ESP,DF,Aston Villa,22,2003,1.0,0.00,0.00,0.00,1.00,0.00,0.00,4.00,0.00,4.00,,,0.00,Matches,,6,1,86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
177,Alejandro Garnacho,ar ARG,MF,Chelsea,21,2004,14.1,0.14,0.00,0.00,0.64,1.63,0.14,4.33,0.28,0.92,,,0.00,Matches,,24,14,1,14.1,0.07,0.28,0.35,0.07,0.00,0.00,0.07,0.28,0.35,0.07,
178,James Garner,eng ENG,MF,DF,Everton,24,2001,37.9,0.32,0.00,0.00,1.03,1.11,0.00,5.41,1.50,1.90,,,0.00,Matches,2001,38,38,413,37.9,0.05,0.18,0.24,0.05,0.32,0.00,0.05,0.18,0.24,Matches
179,Lutsharel Geertruida,nl NED,DF,MF,Sunderland,25,2000,18.8,0.11,0.00,0.00,0.80,0.37,0.05,0.48,1.06,1.17,,,0.00,Matches,2000,28,17,693,18.8,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,Matches
180,Tyrique George,eng ENG,FW,Chelsea,19,2006,1.6,1.25,0.00,0.00,3.75,0.63,1.25,0.63,0.00,1.25,,,0.00,Matches,,4,0,145,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
181,Tyrique George,eng ENG,MF,Everton,19,2006,2.4,0.00,0.00,0.00,1.25,0.42,0.83,4.17,0.83,1.25,,,0.00,Matches,,11,1,218,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
182,Morgan Gibbs-White,eng ENG,MF,Nottingham Forest,25,2000,34.4,0.03,0.00,0.00,0.76,1.19,0.15,1.22,0.35,0.47,,,0.00,Matches,,37,35,3,34.4,0.44,0.12,0.55,0.41,0.03,0.00,0.44,0.12,0.55,0.41,
183,Jamie Gittens,eng ENG,MF,Chelsea,20,2004,5.5,0.00,0.00,0.00,1.09,1.45,0.36,2.36,0.36,0.73,,,0.00,Matches,,16,5,495,0.00,0.36,0.36,0.00,0.00,0.00,0.00,0.36,0.36,0.00,0.36,
184,Wilfried Gnonto,it ITA,FW,Leeds United,21,2003,6.0,0.50,0.00,0.00,1.17,1.83,0.00,3.33,0.50,2.17,,,0.00,Matches,,23,4,537,0.00,0.17,0.17,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17,
185,Angel Gomes,eng ENG,MF,FW,Wolves,24,2000,5.1,0.20,0.00,0.00,1.37,1.76,0.00,2.35,0.20,0.98,,,0.00,Matches,2000,12,7,5.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
186,João Gomes,br BRA,MF,Wolves,24,2001,31.4,0.32,0.00,0.00,2.20,1.56,0.03,0.99,1.15,2.17,,,0.00,Matches,,35,32,2,31.4,0.03,0.03,0.06,0.03,0.00,0.00,0.03,0.03,0.06,0.03,
187,Rodrigo Gomes,pt POR,MF,FW,Wolves,22,2003,10.7,0.00,0.00,0.00,0.56,0.75,0.28,2.24,1.03,1.68,,,0.00,Matches,2003,22,9,10.7,0.28,0.00,0.28,0.28,0.00,0.00,0.28,0.00,0.28,0.28,
188,Toti Gomes,pt POR,DF,Wolves,26,1999,15.8,0.13,0.06,0.00,0.70,0.70,0.00,0.70,0.82,0.70,,,0.00,Matches,,19,17,1,15.8,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,
189,Diego Gómez,py PAR,MF,FW,Brighton,22,2003,23.6,0.38,0.00,0.00,2.08,0.47,0.04,0.97,0.81,2.08,,,0.00,Matches,2003,32,26,120,23.6,0.21,0.04,0.25,0.21,0.38,0.00,0.21,0.04,0.25,Matches
190,Joe Gomez,eng ENG,DF,Liverpool,28,1997,6.7,0.60,0.00,0.00,2.09,0.00,0.00,2.39,1.19,1.04,,,0.00,Matches,,21,7,607,0.00,0.30,0.30,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.30,
191,Nicolás González,es ESP,MF,Manchester City,23,2002,17.4,0.34,0.00,0.00,1.72,1.03,0.00,0.17,1.38,1.72,,,0.00,Matches,,25,17,1,17.4,0.06,0.00,0.06,0.06,0.00,0.00,0.06,0.00,0.06,0.06,
192,Anthony Gordon,eng ENG,FW,Newcastle United,24,2001,19.9,0.15,0.05,0.00,0.65,2.01,0.25,3.47,0.15,0.65,,,0.00,Matches,,26,24,1,19.9,0.30,0.10,0.40,0.15,0.15,0.05,0.30,0.10,0.40,0.15,
193,Ryan Gravenberch,nl NED,MF,Liverpool,23,2002,33.2,0.15,0.00,0.00,1.14,1.27,0.00,0.24,1.33,1.05,,,0.00,Matches,,36,34,2,33.2,0.15,0.09,0.24,0.15,0.00,0.00,0.15,0.09,0.24,0.15,
