player_name,Nation,Pos,Squad,Age,Born,Appearances,Starts,Min,90s,Goals,Assists,G+A,CrdY,CrdR,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,position
Nathan Collins,ie IRL,DF,Brentford,24,2001,35.0,32,2,33.1,33.1,0.03,0.06,0.21,0.00,0.60,0.51,0.06,0.03,1.09,0.39,,,0.03,LB
Player,Nation,Pos,Squad,Age,Born,0.0,Starts,Min,90s,0.0,0.0,G+A,CrdY,CrdR,Fls,Fld,Off,Crs,0.0,0.0,PKwon,PKcon,OG,CM
Levi Colwill,eng ENG,DF,Chelsea,22,2003,3.0,2,225,2.5,0.0,0.0,0.00,0.00,0.00,0.40,0.80,0.00,0.40,2.0,0.8,,,0.00,CB
Lewis Cook,eng ENG,MF,DF,Bournemouth,28,1997.0,18,8,1997,9.7,0.0,0.10,9.7,0.10,0.00,0.82,0.52,0.00,4.54,2.16,1.75,,,CM
Diego Coppola,it ITA,DF,Brighton,21,2003,5.0,2,194,2.2,0.0,0.0,0.00,0.91,0.00,1.82,0.00,0.00,0.00,0.45,0.91,,,0.00,LB
Marc Cucurella,es ESP,DF,Chelsea,27,1998,34.0,31,2,30.1,30.1,0.03,0.13,0.27,0.03,1.50,0.96,0.17,1.36,0.93,1.33,,,0.00,CB
Jorge Cuenca,es ESP,DF,Fulham,25,1999,15.0,11,938,10.4,0.0,0.0,0.00,0.58,0.00,0.96,0.10,0.10,0.19,1.44,0.96,,,0.00,LB
Josh Cullen,ie IRL,MF,Burnley,29,1996,18.0,18,1,16.8,16.8,0.12,0.12,0.12,0.00,0.95,1.07,0.00,0.71,1.43,1.13,,,0.06,CM
Jair Cunha,br BRA,DF,Nottingham Forest,20,2005,9.0,6,517,5.7,0.0,0.0,0.00,0.00,0.00,0.00,1.05,0.00,0.35,0.88,0.88,,,0.00,LB
Matheus Cunha,br BRA,MF,FW,Manchester Utd,26,1999.0,33,29,1999,494.0,27.7,0.36,27.7,0.14,0.00,1.01,1.95,0.07,1.77,0.76,0.83,,,CM
Diogo Dalot,pt POR,DF,MF,Manchester Utd,26,1999.0,34,29,1999,614.0,29.0,0.03,29.0,0.17,0.00,0.86,0.48,0.14,1.97,0.9,1.03,,,CB
Mikkel Damsgaard,dk DEN,MF,Brentford,25,2000,33.0,24,2,22.8,22.8,0.18,0.18,0.00,0.00,0.79,1.01,0.18,4.17,1.05,1.49,,,0.00,CM
Kevin Danso,at AUT,DF,Tottenham Hotspur,26,1998,24.0,17,1,16.6,16.6,0.0,0.00,0.48,0.00,1.27,0.78,0.00,0.42,1.51,0.78,,,0.00,LB
Karl Darlow,wls WAL,GK,Leeds United,34,1990,22.0,22,1,22.0,22.0,0.0,0.00,0.05,0.00,0.00,0.32,0.00,0.00,0.0,0.0,,,0.00,GK
Josh Dasilva,eng ENG,MF,Brentford,26,1998,2.0,0,3,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,,,0,CM
Ben Davies,wls WAL,DF,Tottenham Hotspur,32,1993,3.0,2,137,1.5,0.67,0.0,0.67,0.67,0.00,1.33,0.00,0.00,2.00,0.67,2.67,,,0.00,CB
Maxim De Cuyper,be BEL,DF,MF,Brighton,24,2000.0,30,17,2000,415.0,15.7,0.13,15.7,0.13,0.00,1.15,1.34,0.06,4.9,0.7,0.64,,,LB
Liam Delap,eng ENG,FW,Chelsea,22,2003,28.0,12,1,12.3,12.3,0.08,0.00,0.33,0.00,2.03,1.54,0.41,0.49,0.08,0.24,,,0.00,ST
Sepp van den Berg,nl NED,DF,Brentford,23,2001,32.0,30,2,30.7,30.7,0.0,0.07,0.07,0.00,0.49,0.36,0.00,0.00,0.85,0.29,,,0.00,LB
Jesse Derry,eng ENG,MF,Chelsea,18,2007,1.0,1,44,0.5,0.0,0.0,0.00,0.00,0.00,0.00,2.00,0.00,4.00,0.0,2.0,,,0.00,DM
Justin Devenny,nir NIR,MF,FW,Crystal Palace,21,2003.0,21,7,2003,8.8,0.11,0.00,8.8,0.00,0.00,1.25,1.14,0.11,1.93,0.11,1.25,,,CM
Kiernan Dewsbury-Hall,eng ENG,MF,Everton,26,1998,31.0,30,2,29.2,29.2,0.27,0.14,0.21,0.00,1.10,1.64,0.07,3.84,0.48,0.89,,,0.00,CM
Bafodé Diakité,fr FRA,DF,Bournemouth,24,2001,18.0,15,1,14.2,14.2,0.0,0.00,0.07,0.00,0.56,0.28,0.14,0.07,0.7,1.06,,,0.00,LB
Amad Diallo,ci CIV,MF,Manchester Utd,23,2002,32.0,27,2,26.0,26.0,0.08,0.12,0.08,0.00,0.92,1.46,0.46,1.77,0.58,0.88,,,0.00,CM
Habib Diarra,sn SEN,MF,Sunderland,21,2004,20.0,15,1,15.6,15.6,0.13,0.13,0.38,0.00,1.22,1.73,0.19,2.05,0.26,0.45,,,0.00,CM
Rúben Dias,pt POR,DF,Manchester City,28,1997,26.0,24,2,23.8,23.8,0.08,0.00,0.13,0.00,0.63,0.38,0.00,0.38,0.97,0.25,,,0.00,CB
Tyler Dibling,eng ENG,MF,Everton,19,2006,14.0,4,358,4.0,0.0,0.0,0.00,0.50,0.00,2.75,2.75,0.00,1.75,1.5,0.75,,,0.00,CM
Player,Nation,Pos,Squad,Age,Born,0.0,Starts,Min,90s,0.0,0.0,G+A,CrdY,CrdR,Fls,Fld,Off,Crs,0.0,0.0,PKwon,PKcon,OG,CM
Lucas Digne,fr FRA,DF,Aston Villa,32,1993,31.0,21,1,20.6,20.6,0.0,0.29,0.15,0.00,0.68,0.58,0.15,5.24,0.63,1.26,,,0.00,CB
Issa Diop,ma MAR,DF,Fulham,28,1997,13.0,8,816,9.1,0.11,0.0,0.11,0.22,0.00,0.99,0.33,0.00,0.11,0.66,0.22,,,0.00,CB
El Hadji Malick Diouf,sn SEN,DF,MF,West Ham United,20,2004.0,32,30,2004,707.0,30.1,0.00,30.1,0.20,0.00,0.93,0.83,0.07,3.62,1.06,0.63,,,LB
Axel Disasi,fr FRA,DF,West Ham United,27,1998,14.0,14,1,13.9,13.9,0.0,0.00,0.07,0.00,0.36,0.29,0.07,0.00,0.86,0.72,,,0.07,LB
Matt Doherty,ie IRL,DF,MF,Wolves,33,1992.0,11,11,1992,8.7,0.0,0.00,8.7,0.46,0.00,1.84,0.69,0.00,0.92,0.8,0.92,,,LB
Jeremy Doku,be BEL,MF,FW,Manchester City,23,2002.0,30,19,2002,784.0,19.8,0.25,19.8,0.00,0.00,1.16,3.08,0.15,3.13,0.61,0.81,,,CM
Nicolás Domínguez,ar ARG,MF,Nottingham Forest,27,1998,27.0,17,1,13.1,13.1,0.08,0.08,0.23,0.00,1.22,0.84,0.00,1.07,0.46,2.29,,,0.00,CM
Gianluigi Donnarumma,it ITA,GK,Manchester City,26,1999,34.0,34,3,34.0,34.0,0.0,0.00,0.24,0.00,0.00,0.12,0.00,0.00,0.03,0.0,,,0.00,GK
Romelle Donovan,eng ENG,FW,Brentford,18,2006,4.0,0,41,0.5,0.0,0.0,0.00,0.00,0.00,4.00,6.00,0.00,4.00,0.0,0.0,,,0.00,IF
Patrick Dorgu,dk DEN,MF,Manchester Utd,20,2004,26.0,15,1,16.1,16.1,0.25,0.25,0.31,0.00,1.43,2.92,0.43,3.54,0.99,1.86,,,0.00,CM
Max Dowman,eng ENG,MF,Arsenal,15,2009,6.0,1,157,1.7,0.59,0.0,0.59,0.00,0.00,1.18,4.12,0.00,3.53,0.59,1.18,,,0.00,CM
Radu Drăgușin,ro ROU,DF,Tottenham Hotspur,23,2002,10.0,5,517,5.7,0.0,0.0,0.00,0.00,0.00,1.58,0.18,0.00,0.53,2.81,0.53,,,0.00,LB
Joél Drakes-Thomas,eng ENG,MF,Crystal Palace,16,2009,2.0,0,9,0.1,0.0,0.0,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.0,10.0,,,0.00,DM
Martin Dúbravka,sk SVK,GK,Burnley,36,1989,35.0,35,3,35.0,35.0,0.0,0.00,0.03,0.00,0.00,0.23,0.00,0.00,0.0,0.03,,,0.00,GK
Lewis Dunk,eng ENG,DF,Brighton,33,1991,33.0,31,2,31.5,31.5,0.03,0.00,0.32,0.00,0.44,0.38,0.03,0.16,0.95,0.7,,,0.00,LB
George Earthy,eng ENG,MF,West Ham United,20,2004,1.0,0,9,0.1,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,,,0.00,CM
Odsonne Édouard,fr FRA,FW,Crystal Palace,27,1998,1.0,0,3,0.0,0.0,0.0,0,0,0,0,1,0,0,0.0,1.0,,,0,IF
