Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Tkl,Int,TklW,Recoveries,Gls_per_90,Ast_per_90
53,Rodrigo Bentancur,uy URU,MF,Tottenham,27.0,1997.0,26,21,1645,18.3,2,0,2,2,0,0,9,0,1.3,1.3,0.4,1.7,28,100,34,0.11,0.0,0.11,0.11,0.11,0.07,0.02,0.1,0.07,0.1,35,19,23,121,0.1094224924012158,0.0
54,Daniel Bentley,eng ENG,GK,Wolves,31.0,1993.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,7,0.0,0.0
55,Sander Berge,no NOR,MF,Fulham,26.0,1998.0,31,26,2224,24.7,0,0,0,0,0,0,6,0,0.4,0.4,0.6,1.0,29,124,9,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,52,28,36,179,0.0,0.0
56,Lucas Bergvall,se SWE,MF,Tottenham,18.0,2006.0,27,11,1212,13.5,0,1,1,0,0,0,3,0,0.7,0.7,0.6,1.3,33,49,31,0.0,0.07,0.07,0.0,0.07,0.05,0.04,0.09,0.05,0.09,28,15,19,96,0.0,0.0742574257425742
57,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,21.0,2002.0,30,29,2482,27.6,0,1,1,0,0,0,1,0,0.3,0.3,1.4,1.7,40,70,78,0.0,0.04,0.04,0.0,0.04,0.01,0.05,0.06,0.01,0.06,49,29,28,155,0.0,0.0362610797743755
58,Beto,gw GNB,FW,Everton,26.0,1998.0,30,15,1534,17.0,8,0,8,8,0,0,2,0,8.2,8.2,1.2,9.4,15,16,77,0.47,0.0,0.47,0.47,0.47,0.48,0.07,0.55,0.48,0.55,19,8,14,73,0.469361147327249,0.0
59,Philip Billing,dk DEN,MF,Bournemouth,28.0,1996.0,10,1,184,2.0,0,0,0,0,0,0,1,0,0.6,0.6,1.1,1.7,3,15,13,0.0,0.0,0.0,0.0,0.0,0.28,0.54,0.82,0.28,0.82,3,2,2,12,0.0,0.0
60,Yves Bissouma,ml MLI,MF,Tottenham,27.0,1996.0,28,16,1408,15.6,2,0,2,2,0,0,7,0,0.6,0.6,0.3,0.9,15,75,3,0.13,0.0,0.13,0.13,0.13,0.04,0.02,0.06,0.04,0.06,34,18,24,115,0.1278409090909091,0.0
61,Oscar Bobb,no NOR,FW,Manchester City,21.0,2003.0,3,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.41,0,0,0,1,0.0,0.0
62,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,20.0,2004.0,8,5,476,5.3,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.2,12,14,9,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,12,7,8,39,0.0,0.0
63,Willy Boly,ci CIV,DF,Nott'ham Forest,33.0,1991.0,6,1,150,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,2,0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,4,2,3,13,0.0,0.0
64,Sven Botman,nl NED,DF,Newcastle Utd,24.0,2000.0,8,6,412,4.6,0,0,0,0,0,0,1,0,0.5,0.5,0.5,1.1,0,7,0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.24,0.12,0.24,9,5,6,29,0.0,0.0
65,Jarrod Bowen,eng ENG,"FW,MF",West Ham,27.0,1996.0,34,34,2973,33.0,13,8,21,12,1,1,1,0,8.6,7.8,6.8,14.7,109,91,212,0.39,0.24,0.64,0.36,0.61,0.26,0.21,0.47,0.24,0.44,29,13,19,113,0.3935418768920282,0.2421796165489404
66,Conor Bradley,nir NIR,DF,Liverpool,21.0,2003.0,19,7,754,8.4,0,2,2,0,0,0,4,0,0.7,0.7,1.4,2.1,35,33,39,0.0,0.24,0.24,0.0,0.24,0.08,0.17,0.25,0.08,0.25,16,10,10,52,0.0,0.2387267904509283
67,Jarrad Branthwaite,eng ENG,DF,Everton,22.0,2002.0,30,28,2511,27.9,0,1,1,0,0,0,4,0,1.2,1.2,0.7,1.9,10,66,2,0.0,0.04,0.04,0.0,0.04,0.04,0.02,0.07,0.04,0.07,48,28,27,152,0.0,0.03584229390681
68,James Bree,eng ENG,DF,Southampton,26.0,1997.0,17,13,1075,11.9,0,1,1,0,0,0,0,0,0.1,0.1,0.9,1.0,13,34,43,0.0,0.08,0.08,0.0,0.08,0.01,0.08,0.08,0.01,0.08,24,14,15,78,0.0,0.0837209302325581
69,Ben Brereton,cl CHI,FW,Southampton,25.0,1999.0,10,4,449,5.0,0,0,0,0,0,0,1,0,0.9,0.9,0.1,1.0,12,9,42,0.0,0.0,0.0,0.0,0.0,0.18,0.02,0.2,0.18,0.2,5,2,3,19,0.0,0.0
70,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,26.0,1998.0,18,7,702,7.8,2,0,2,2,0,0,1,0,1.7,1.7,0.7,2.4,20,14,33,0.26,0.0,0.26,0.26,0.26,0.22,0.09,0.31,0.22,0.31,14,8,9,50,0.2564102564102564,0.0
71,Armando Broja,al ALB,FW,Everton,22.0,2001.0,10,4,334,3.7,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,12,2,26,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.03,0.08,3,1,2,11,0.0,0.0
72,David Brooks,wls WAL,"FW,MF",Bournemouth,27.0,1997.0,29,9,960,10.7,2,0,2,2,0,0,3,0,2.5,2.5,1.9,4.4,35,35,83,0.19,0.0,0.19,0.19,0.19,0.24,0.18,0.41,0.24,0.41,12,5,9,45,0.1875,0.0
73,Emi Buendía,ar ARG,"MF,FW",Aston Villa,27.0,1996.0,12,0,98,1.1,0,0,0,0,0,0,1,0,0.7,0.7,0.0,0.7,3,7,6,0.0,0.0,0.0,0.0,0.0,0.6,0.02,0.62,0.6,0.62,2,1,1,6,0.0,0.0
74,Santiago Bueno,uy URU,DF,Wolves,25.0,1998.0,29,18,1687,18.7,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,1,28,1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,47,28,33,150,0.0,0.0
75,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,19.0,2004.0,31,14,1523,16.9,5,2,7,5,0,0,8,0,3.9,3.9,3.1,7.0,39,54,74,0.3,0.12,0.41,0.3,0.41,0.23,0.18,0.41,0.23,0.41,17,8,12,67,0.2954694681549573,0.1181877872619829
76,Cameron Burgess,au AUS,DF,Ipswich Town,28.0,1995.0,18,16,1541,17.1,0,2,2,0,0,0,0,0,1.1,1.1,0.5,1.6,2,42,4,0.0,0.12,0.12,0.0,0.12,0.06,0.03,0.09,0.06,0.09,40,24,27,127,0.0,0.1168072680077871
77,Dan Burn,eng ENG,DF,Newcastle Utd,32.0,1992.0,37,37,3330,37.0,1,1,2,1,0,0,11,0,2.0,2.0,0.9,2.8,12,75,14,0.03,0.03,0.05,0.03,0.05,0.05,0.02,0.08,0.05,0.08,71,42,43,226,0.027027027027027,0.027027027027027
78,Wes Burns,wls WAL,"FW,DF",Ipswich Town,29.0,1994.0,18,12,926,10.3,0,1,1,0,0,0,1,0,0.5,0.5,1.6,2.2,38,8,65,0.0,0.1,0.1,0.0,0.1,0.05,0.16,0.21,0.05,0.21,10,4,7,39,0.0,0.0971922246220302
79,Nathan Butler-Oyedeji,eng ENG,FW,Arsenal,21.0,2003.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.94,0.94,0.94,0,0,0,0,0.0,0.0
80,Moisés Caicedo,ec ECU,"MF,DF",Chelsea,22.0,2001.0,38,38,3351,37.2,1,2,3,1,0,0,11,0,0.8,0.8,3.0,3.8,43,215,37,0.03,0.05,0.08,0.03,0.08,0.02,0.08,0.1,0.02,0.1,63,33,38,214,0.0268576544315129,0.0537153088630259
81,Tom Cairney,sct SCO,MF,Fulham,33.0,1991.0,25,3,628,7.0,2,0,2,2,0,0,3,1,0.8,0.8,1.1,1.8,18,53,33,0.29,0.0,0.29,0.29,0.29,0.11,0.15,0.26,0.11,0.26,11,6,6,38,0.286624203821656,0.0
82,Jens Cajuste,se SWE,MF,Ipswich Town,24.0,1999.0,30,25,1959,21.8,1,1,2,1,0,0,2,0,0.7,0.7,0.8,1.5,26,59,20,0.05,0.05,0.09,0.05,0.09,0.03,0.04,0.07,0.03,0.07,47,25,33,159,0.0459418070444104,0.0459418070444104
83,Riccardo Calafiori,it ITA,DF,Arsenal,22.0,2002.0,19,11,983,10.9,2,1,3,2,0,0,4,0,0.9,0.9,0.3,1.1,22,54,29,0.18,0.09,0.27,0.18,0.27,0.08,0.03,0.11,0.08,0.11,18,11,10,59,0.1831129196337741,0.091556459816887
84,Dominic Calvert-Lewin,eng ENG,FW,Everton,27.0,1997.0,26,19,1609,17.9,3,1,4,3,0,0,2,0,6.7,6.7,0.6,7.4,23,20,112,0.17,0.06,0.22,0.17,0.22,0.38,0.04,0.41,0.38,0.41,14,6,8,53,0.1678060907395898,0.0559353635798632
85,Diego Carlos,br BRA,DF,Aston Villa,31.0,1993.0,10,8,830,9.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,3,34,0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,21,12,14,66,0.0,0.0
86,Fabio Carvalho,pt POR,"FW,MF",Brentford,21.0,2002.0,19,3,455,5.1,2,1,3,2,0,0,1,0,2.5,2.5,0.7,3.2,9,17,23,0.4,0.2,0.59,0.4,0.59,0.49,0.13,0.62,0.49,0.62,4,2,2,15,0.3956043956043956,0.1978021978021978
87,Casemiro,br BRA,MF,Manchester Utd,32.0,1992.0,24,18,1494,16.6,1,0,1,1,0,0,5,0,1.9,1.9,2.3,4.2,4,84,28,0.06,0.0,0.06,0.06,0.06,0.11,0.14,0.25,0.11,0.25,35,18,24,120,0.0602409638554216,0.0
88,Kaelan Casey,eng ENG,DF,West Ham,19.0,2004.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
89,Matty Cash,pl POL,DF,Aston Villa,26.0,1997.0,27,24,2070,23.0,1,1,2,1,0,0,7,0,0.5,0.5,1.1,1.6,48,42,90,0.04,0.04,0.09,0.04,0.09,0.02,0.05,0.07,0.02,0.07,58,34,41,185,0.0434782608695652,0.0434782608695652
90,Eiran Cashin,ie IRL,DF,Brighton,22.0,2001.0,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,2,0.0,0.0
91,Timothy Castagne,be BEL,DF,Fulham,28.0,1995.0,24,17,1649,18.3,0,1,1,0,0,0,1,0,0.4,0.4,1.2,1.6,17,62,67,0.0,0.05,0.05,0.0,0.05,0.02,0.07,0.09,0.02,0.09,32,19,18,103,0.0,0.0545785324439054
92,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25.0,1999.0,12,12,1060,11.8,3,0,3,3,0,0,1,0,1.2,1.2,0.4,1.6,11,34,6,0.25,0.0,0.25,0.25,0.25,0.1,0.03,0.14,0.1,0.14,24,14,15,77,0.2547169811320754,0.0
93,Trevoh Chalobah,eng ENG,DF,Chelsea,25.0,1999.0,13,11,910,10.1,0,1,1,0,0,0,2,0,0.8,0.8,1.2,2.0,4,37,2,0.0,0.1,0.1,0.0,0.1,0.08,0.12,0.19,0.08,0.19,21,12,13,66,0.0,0.0989010989010989
94,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,27.0,1997.0,22,10,857,9.5,1,1,2,1,0,0,2,0,1.5,1.5,0.7,2.2,13,29,23,0.11,0.11,0.21,0.11,0.21,0.16,0.07,0.23,0.16,0.23,22,12,16,77,0.1050175029171528,0.1050175029171528
95,Youssef Chermiti,pt POR,"FW,MF",Everton,20.0,2004.0,4,0,45,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,1,6,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.22,1,0,1,2,0.0,0.0
96,Federico Chiesa,it ITA,FW,Liverpool,26.0,1997.0,6,1,108,1.2,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,3,3,7,0.0,0.0,0.0,0.0,0.0,0.28,0.15,0.43,0.28,0.43,1,1,1,5,0.0,0.0
97,Ben Chilwell,eng ENG,DF,Crystal Palace,27.0,1996.0,8,1,259,2.9,1,0,1,1,0,0,1,0,0.2,0.2,0.8,1.0,5,8,15,0.35,0.0,0.35,0.35,0.35,0.08,0.26,0.34,0.08,0.34,7,4,5,21,0.3474903474903475,0.0
98,Chiquinho,pt POR,MF,Wolves,24.0,2000.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,0.0,0.42,0,0,0,1,0.0,0.0
99,Hamza Choudhury,bd BAN,"MF,DF",Leicester City,26.0,1997.0,4,1,131,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,4,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.0,0.27,3,2,2,11,0.0,0.0
100,Ryan Christie,sct SCO,MF,Bournemouth,29.0,1995.0,29,27,2117,23.5,2,3,5,2,0,0,9,0,1.8,1.8,3.5,5.4,34,137,44,0.09,0.13,0.21,0.09,0.21,0.08,0.15,0.23,0.08,0.23,43,23,27,147,0.0850259801606046,0.1275389702409069
101,Harry Clarke,eng ENG,DF,Ipswich Town,23.0,2001.0,7,4,379,4.2,0,0,0,0,0,0,3,1,0.1,0.1,0.0,0.1,5,14,2,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,8,5,5,27,0.0,0.0
102,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,23.0,2000.0,32,12,1181,13.1,0,4,4,0,0,0,2,0,1.2,1.2,2.3,3.5,39,44,57,0.0,0.3,0.3,0.0,0.3,0.09,0.17,0.26,0.09,0.26,12,5,8,47,0.0,0.304826418289585
103,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,33.0,1991.0,13,5,483,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,6,7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,12,7,8,38,0.0,0.0
104,Conor Coady,eng ENG,DF,Leicester City,31.0,1993.0,22,19,1714,19.0,1,0,1,1,0,0,3,0,0.4,0.4,0.1,0.5,3,32,0,0.05,0.0,0.05,0.05,0.05,0.02,0.0,0.03,0.02,0.03,48,28,34,153,0.0525087514585764,0.0
105,Séamus Coleman,ie IRL,DF,Everton,35.0,1988.0,5,3,215,2.4,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,1,11,7,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.24,0.24,0.24,5,3,3,16,0.0,0.0
106,Nathan Collins,ie IRL,DF,Brentford,23.0,2001.0,38,38,3420,38.0,2,3,5,2,0,0,5,0,2.5,2.5,1.8,4.3,32,127,18,0.05,0.08,0.13,0.05,0.13,0.07,0.05,0.11,0.07,0.11,83,49,54,264,0.0526315789473684,0.0789473684210526
107,Toby Collyer,eng ENG,MF,Manchester Utd,20.0,2004.0,6,0,179,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,0,5,2,0.0,0.0,0.0,0.0,0.0,0.09,0.13,0.22,0.09,0.22,3,2,2,10,0.0,0.0
108,Levi Colwill,eng ENG,DF,Chelsea,21.0,2003.0,35,35,3149,35.0,2,1,3,2,0,0,9,0,1.9,1.9,1.1,3.0,14,131,12,0.06,0.03,0.09,0.06,0.09,0.05,0.03,0.09,0.05,0.09,94,56,70,300,0.0571610034931724,0.0285805017465862
109,Lewis Cook,eng ENG,"MF,DF",Bournemouth,27.0,1997.0,36,32,2978,33.1,1,3,4,1,0,0,8,1,0.9,0.9,4.1,5.1,33,158,52,0.03,0.09,0.12,0.03,0.12,0.03,0.12,0.15,0.03,0.15,47,25,26,162,0.0302216252518468,0.0906648757555406
110,Maxwel Cornet,ci CIV,FW,Southampton,27.0,1996.0,2,1,72,0.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,0,5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,1,0,1,2,0.0,0.0
111,Vladimír Coufal,cz CZE,DF,West Ham,31.0,1992.0,22,11,1067,11.9,0,0,0,0,0,0,5,0,0.3,0.3,0.7,1.0,26,39,33,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.08,0.03,0.08,21,13,12,68,0.0,0.0
112,Woyo Coulibaly,ml MLI,DF,Leicester City,25.0,1999.0,4,1,109,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,3,2,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,2,1,1,6,0.0,0.0
113,Aaron Cresswell,eng ENG,DF,West Ham,34.0,1989.0,18,10,824,9.2,0,0,0,0,0,0,3,0,0.2,0.2,1.3,1.6,6,36,4,0.0,0.0,0.0,0.0,0.0,0.03,0.15,0.17,0.03,0.17,25,15,19,80,0.0,0.0
114,Marc Cucurella,es ESP,DF,Chelsea,26.0,1998.0,36,33,2988,33.2,5,1,6,5,0,0,10,1,2.8,2.8,2.1,4.9,35,118,117,0.15,0.03,0.18,0.15,0.18,0.08,0.06,0.15,0.08,0.15,56,33,31,177,0.1506024096385542,0.0301204819277108
115,Jorge Cuenca,es ESP,DF,Fulham,24.0,1999.0,8,4,351,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,7,4,4,21,0.0,0.0
116,Matheus Cunha,br BRA,"MF,FW",Wolves,25.0,1999.0,33,29,2597,28.9,15,6,21,15,0,0,4,0,8.6,8.6,7.7,16.4,112,144,161,0.52,0.21,0.73,0.52,0.73,0.3,0.27,0.57,0.3,0.57,45,24,26,156,0.5198305737389295,0.2079322294955718
117,Patson Daka,zm ZAM,"FW,MF",Leicester City,25.0,1998.0,23,6,736,8.2,1,0,1,1,0,0,0,0,1.3,1.3,0.1,1.3,11,8,36,0.12,0.0,0.12,0.12,0.12,0.15,0.01,0.16,0.15,0.16,8,4,6,33,0.1222826086956521,0.0
118,Diogo Dalot,pt POR,DF,Manchester Utd,25.0,1999.0,33,31,2814,31.3,0,3,3,0,0,0,5,0,2.0,2.0,2.0,4.1,62,103,168,0.0,0.1,0.1,0.0,0.1,0.07,0.07,0.13,0.07,0.13,81,48,58,256,0.0,0.0959488272921108
119,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24.0,2000.0,38,34,2911,32.3,2,10,12,2,0,0,2,0,2.8,2.8,8.4,11.2,73,234,137,0.06,0.31,0.37,0.06,0.37,0.09,0.26,0.35,0.09,0.35,56,29,34,190,0.061834421161113,0.3091721058055651
120,Danilo,br BRA,"MF,FW",Nott'ham Forest,23.0,2001.0,8,5,275,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3,4,22,0.0,0.0
121,Jayden Danns,eng ENG,MF,Liverpool,18.0,2006.0,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0
122,Kevin Danso,at AUT,DF,Tottenham,25.0,1998.0,10,9,842,9.4,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,11,19,1,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,25,15,18,80,0.0,0.0
123,Ben Davies,wls WAL,DF,Tottenham,31.0,1993.0,17,14,1331,14.8,0,0,0,0,0,0,5,0,0.3,0.3,0.2,0.5,14,52,6,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,26,16,15,84,0.0,0.0
124,Leif Davis,eng ENG,DF,Ipswich Town,24.0,2000.0,33,32,2743,30.5,1,2,3,1,0,0,5,1,1.0,1.0,4.9,5.8,52,59,137,0.03,0.07,0.1,0.03,0.1,0.03,0.16,0.19,0.03,0.19,54,32,31,172,0.0328107911046299,0.0656215822092599
125,Craig Dawson,eng ENG,DF,Wolves,34.0,1990.0,15,10,971,10.8,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,6,20,5,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,28,17,20,90,0.0,0.0
126,Kevin De Bruyne,be BEL,"MF,FW",Manchester City,33.0,1991.0,28,19,1702,18.9,4,7,11,4,0,0,2,0,5.1,5.1,8.0,13.1,51,157,150,0.21,0.37,0.58,0.21,0.58,0.27,0.42,0.69,0.27,0.69,37,20,25,127,0.2115158636897767,0.3701527614571093
127,Bobby De Cordova-Reid,jm JAM,FW,Leicester City,31.0,1993.0,23,9,744,8.3,1,2,3,1,0,0,2,0,0.8,0.8,1.2,2.0,14,15,48,0.12,0.24,0.36,0.12,0.36,0.1,0.15,0.24,0.1,0.24,6,3,4,25,0.1209677419354838,0.2419354838709677
128,Liam Delap,eng ENG,FW,Ipswich Town,21.0,2003.0,37,32,2593,28.8,12,2,14,10,2,2,12,0,9.3,7.8,1.9,9.7,61,30,110,0.42,0.07,0.49,0.35,0.42,0.32,0.07,0.39,0.27,0.34,32,14,24,123,0.4165059776320864,0.069417662938681
129,Sepp van den Berg,nl NED,DF,Brentford,22.0,2001.0,31,29,2586,28.7,0,0,0,0,0,0,3,0,2.0,2.0,0.8,2.8,12,79,28,0.0,0.0,0.0,0.0,0.0,0.07,0.03,0.1,0.07,0.1,56,33,34,180,0.0,0.0
130,Justin Devenny,nir NIR,MF,Crystal Palace,20.0,2003.0,23,4,507,5.6,1,1,2,1,0,0,1,0,0.8,0.8,0.6,1.4,5,21,13,0.18,0.18,0.36,0.18,0.36,0.14,0.11,0.25,0.14,0.25,12,6,8,39,0.1775147928994083,0.1775147928994083
131,Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,25.0,1998.0,13,2,264,2.9,0,1,1,0,0,0,0,0,0.2,0.2,1.1,1.3,5,14,11,0.0,0.34,0.34,0.0,0.34,0.08,0.36,0.44,0.08,0.44,4,2,2,15,0.0,0.3409090909090909
132,Amad Diallo,ci CIV,"MF,FW",Manchester Utd,22.0,2002.0,26,20,1901,21.1,8,6,14,8,0,0,5,0,4.7,4.7,4.9,9.6,109,60,200,0.38,0.28,0.66,0.38,0.66,0.22,0.23,0.45,0.22,0.45,32,17,18,111,0.3787480273540242,0.2840610205155181
133,Rúben Dias,pt POR,DF,Manchester City,27.0,1997.0,27,25,2271,25.2,0,0,0,0,0,0,4,0,1.5,1.5,0.3,1.8,43,160,8,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.07,0.06,0.07,66,39,48,209,0.0,0.0
134,Luis Díaz,co COL,FW,Liverpool,27.0,1997.0,36,28,2399,26.7,13,5,18,13,0,0,2,0,12.0,12.0,5.0,17.1,108,110,293,0.49,0.19,0.68,0.49,0.68,0.45,0.19,0.64,0.45,0.64,21,9,12,80,0.4877032096706961,0.1875781575656523
135,Tyler Dibling,eng ENG,"FW,MF",Southampton,18.0,2006.0,33,20,1874,20.8,2,0,2,2,0,0,6,0,2.5,2.5,1.5,4.1,69,64,96,0.1,0.0,0.1,0.1,0.1,0.12,0.07,0.2,0.12,0.2,19,9,13,75,0.096051227321238,0.0
136,Lucas Digne,fr FRA,DF,Aston Villa,31.0,1993.0,32,28,2351,26.1,0,4,4,0,0,0,4,0,0.8,0.8,4.7,5.5,23,57,142,0.0,0.15,0.15,0.0,0.15,0.03,0.18,0.21,0.03,0.21,46,27,26,147,0.0,0.1531263292216078
137,Issa Diop,fr FRA,DF,Fulham,27.0,1997.0,21,15,1339,14.9,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,6,25,3,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.04,0.04,0.04,27,16,16,86,0.0,0.0
138,Axel Disasi,fr FRA,DF,Aston Villa,26.0,1998.0,7,5,490,5.4,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,10,16,5,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09,13,8,9,42,0.0,0.0
139,Axel Disasi,fr FRA,DF,Chelsea,26.0,1998.0,6,4,364,4.0,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,6,16,2,0.25,0.0,0.25,0.25,0.25,0.07,0.02,0.09,0.07,0.09,10,6,7,31,0.2472527472527472,0.0
140,Roman Dixon,eng ENG,DF,Everton,19.0,2004.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,7,0.0,0.0
141,Nasser Djiga,bf BFA,DF,Wolves,21.0,2002.0,5,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,4,0.0,0.0
142,Matt Doherty,ie IRL,DF,Wolves,32.0,1992.0,30,25,2109,23.4,2,1,3,2,0,0,6,0,1.0,1.0,1.5,2.6,29,79,41,0.09,0.04,0.13,0.09,0.13,0.04,0.07,0.11,0.04,0.11,44,26,26,140,0.0853485064011379,0.0426742532005689
143,Jeremy Doku,be BEL,"FW,MF",Manchester City,22.0,2002.0,29,16,1516,16.8,3,6,9,3,0,0,1,0,1.3,1.3,4.8,6.1,213,69,286,0.18,0.36,0.53,0.18,0.53,0.08,0.29,0.36,0.08,0.36,14,6,9,56,0.1781002638522427,0.3562005277044855
144,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26.0,1998.0,34,23,1963,21.8,0,1,1,0,0,0,9,0,1.5,1.5,1.3,2.8,16,83,33,0.0,0.05,0.05,0.0,0.05,0.07,0.06,0.13,0.07,0.13,51,27,38,175,0.0,0.0458481915435557
145,Patrick Dorgu,dk DEN,DF,Manchester Utd,19.0,2004.0,12,10,842,9.4,0,0,0,0,0,0,3,1,0.4,0.4,0.7,1.2,41,34,83,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.12,0.05,0.12,25,15,18,79,0.0,0.0
146,Alfie Dorrington,eng ENG,DF,Tottenham,19.0,2005.0,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0
147,Abdoulaye Doucouré,ml MLI,MF,Everton,31.0,1993.0,33,31,2564,28.5,3,2,5,3,0,0,5,1,4.1,4.1,2.4,6.6,42,82,96,0.11,0.07,0.18,0.11,0.18,0.15,0.09,0.23,0.15,0.23,41,21,23,139,0.1053042121684867,0.0702028081123244
